fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
b3c781f5-c273-473c-b730-67514e58ba90,1602690981934,132471645056687185,19,631.5188679245283,773.7405660377359,Sample-Data.cpp,38,37,,,,0.0,0.0,6667
fb3242e4-7bc6-4098-8ebc-1157ea6d3048,1602690981934,132471645125552941,20,359.5416666666667,336.3541666666667,Sample-Data.cpp,20,13,,,,0.0,0.0,1483
8623a14a-d4a4-4503-983c-a8e9cb4f0e22,1602690982244,132471645208935249,1,815.2363636363636,310.25454545454545,Sample-Data.cpp,20,43,,,,0.0,0.0,1731
142eb902-0ae0-4f52-af86-e094ffab8505,1602690982244,132471645227177602,2,472.86607142857144,375.8392857142857,Sample-Data.cpp,21,17,,,,0.0,0.0,3534
c91ca150-1324-410c-a7b0-13271373e11c,1602690982244,132471645263780061,3,459.7986577181208,436.8724832214765,Sample-Data.cpp,23,27,,,,0.0,0.0,4699
808b0916-f8e2-4d32-9605-5850377f91da,1602690982244,132471645311709101,4,445.08849557522126,425.716814159292,Sample-Data.cpp,-1,-1,,,,0.0,0.0,3584
704b61dc-afec-435c-820a-b95bbd6e7d5a,1602690982244,132471645348171762,5,510.64957264957263,503.04273504273505,Sample-Data.cpp,-1,-1,,,,0.0,0.0,3711
08bcecac-2bb0-4640-bd47-1edbf925f9c6,1602690982244,132471645386550857,6,356.14285714285717,514.2380952380952,Sample-Data.cpp,29,17,,,,0.0,0.0,619
f7360ea7-62cb-49bf-ad2d-7cfd6c8feb55,1602690982244,132471645393681470,7,687.9556962025316,495.25949367088606,Sample-Data.cpp,29,34,,,,0.0,0.0,4958
27e875ef-b7f9-407b-8fdc-8dbc8a95269d,1602690982523,132471645508873301,1,474.625,409.7916666666667,Sample-Data.cpp,27,22,,,,0.0,0.0,721
2b0f24c8-20cf-425d-bb8e-5fd4a2bd3b29,1602690982722,132471645560355095,1,708.4375,500.375,Sample-Data.cpp,29,36,,,,0.0,0.0,973
fb8e296a-d70c-49f1-994b-53a2ee64de8a,1602690982928,132471645609557707,1,835.8551724137931,585.3724137931034,Sample-Data.cpp,31,45,,,,0.0,0.0,4616
439ba3c9-265b-44e0-a7a8-320ffc9eea88,1602690982928,132471645657737112,2,798.2352941176471,1068.3823529411766,Sample-Data.cpp,-1,-1,,,,0.0,0.0,1062
80fc9d26-41e6-420e-83ef-86f862c87b79,1602690982928,132471645670235244,3,638.1428571428571,479.2857142857143,Sample-Data.cpp,-1,-1,,,,0.0,0.0,189
