event_time,session_id,calibration_id,participant_id,tracker_time,system_time,x,y,left_x,left_y,left_pupil_diameter,left_validation,right_x,right_y,right_pupil_diameter,right_validation,user_left_x,user_left_y,user_left_z,user_right_x,user_right_y,user_right_z
132471644166755724,637382876152856942,,,1602690816675,1602690816675,226.0,246.0,226.0,246.0,0.0,1,226.0,246.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644167064835,637382876152856942,,,1602690816706,1602690816706,231.0,230.0,231.0,230.0,0.0,1,231.0,230.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644167381940,637382876152856942,,,1602690816738,1602690816738,230.0,212.0,230.0,212.0,0.0,1,230.0,212.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644167701838,637382876152856942,,,1602690816770,1602690816770,225.0,194.0,225.0,194.0,0.0,1,225.0,194.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644168014496,637382876152856942,,,1602690816801,1602690816801,215.0,176.0,215.0,176.0,0.0,1,215.0,176.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644168321790,637382876152856942,,,1602690816832,1602690816832,206.0,173.0,206.0,173.0,0.0,1,206.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644168632042,637382876152856942,,,1602690816863,1602690816863,202.0,175.0,202.0,175.0,0.0,1,202.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644168942241,637382876152856942,,,1602690816894,1602690816894,195.0,182.0,195.0,182.0,0.0,1,195.0,182.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644169251947,637382876152856942,,,1602690816925,1602690816925,188.0,190.0,188.0,190.0,0.0,1,188.0,190.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644169558396,637382876152856942,,,1602690816955,1602690816955,187.0,190.0,187.0,190.0,0.0,1,187.0,190.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644169871871,637382876152856942,,,1602690816987,1602690816987,179.0,179.0,179.0,179.0,0.0,1,179.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644170184581,637382876152856942,,,1602690817018,1602690817018,159.0,165.0,159.0,165.0,0.0,1,159.0,165.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644170492487,637382876152856942,,,1602690817049,1602690817049,148.0,163.0,148.0,163.0,0.0,1,148.0,163.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644170801787,637382876152856942,,,1602690817080,1602690817080,148.0,163.0,148.0,163.0,0.0,1,148.0,163.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644171116362,637382876152856942,,,1602690817111,1602690817111,148.0,164.0,148.0,164.0,0.0,1,148.0,164.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644171425262,637382876152856942,,,1602690817142,1602690817142,148.0,169.0,148.0,169.0,0.0,1,148.0,169.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644171732238,637382876152856942,,,1602690817173,1602690817173,148.0,171.0,148.0,171.0,0.0,1,148.0,171.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644172051530,637382876152856942,,,1602690817205,1602690817205,149.0,174.0,149.0,174.0,0.0,1,149.0,174.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644172361972,637382876152856942,,,1602690817236,1602690817236,150.0,175.0,150.0,175.0,0.0,1,150.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644172673510,637382876152856942,,,1602690817267,1602690817267,150.0,175.0,150.0,175.0,0.0,1,150.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644172983863,637382876152856942,,,1602690817298,1602690817298,150.0,175.0,150.0,175.0,0.0,1,150.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644173304639,637382876152856942,,,1602690817330,1602690817330,150.0,175.0,150.0,175.0,0.0,1,150.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644173608223,637382876152856942,,,1602690817360,1602690817360,155.0,175.0,155.0,175.0,0.0,1,155.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644173925402,637382876152856942,,,1602690817392,1602690817392,159.0,175.0,159.0,175.0,0.0,1,159.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644174239069,637382876152856942,,,1602690817423,1602690817423,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644174555525,637382876152856942,,,1602690817455,1602690817455,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644174872436,637382876152856942,,,1602690817487,1602690817487,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644175192080,637382876152856942,,,1602690817519,1602690817519,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644175540541,637382876152856942,,,1602690817553,1602690817553,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644175873626,637382876152856942,,,1602690817587,1602690817587,160.0,175.0,160.0,175.0,0.0,1,160.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644176186691,637382876152856942,,,1602690817618,1602690817618,161.0,175.0,161.0,175.0,0.0,1,161.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644176533074,637382876152856942,,,1602690817653,1602690817653,161.0,175.0,161.0,175.0,0.0,1,161.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644176845491,637382876152856942,,,1602690817684,1602690817684,161.0,175.0,161.0,175.0,0.0,1,161.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644177157252,637382876152856942,,,1602690817715,1602690817715,162.0,175.0,162.0,175.0,0.0,1,162.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644177466638,637382876152856942,,,1602690817746,1602690817746,163.0,175.0,163.0,175.0,0.0,1,163.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644177775616,637382876152856942,,,1602690817777,1602690817777,167.0,175.0,167.0,175.0,0.0,1,167.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644178076852,637382876152856942,,,1602690817807,1602690817807,177.0,175.0,177.0,175.0,0.0,1,177.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644178392590,637382876152856942,,,1602690817839,1602690817839,181.0,175.0,181.0,175.0,0.0,1,181.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644178703498,637382876152856942,,,1602690817870,1602690817870,181.0,175.0,181.0,175.0,0.0,1,181.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644179039244,637382876152856942,,,1602690817903,1602690817903,181.0,175.0,181.0,175.0,0.0,1,181.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644179352932,637382876152856942,,,1602690817935,1602690817935,183.0,175.0,183.0,175.0,0.0,1,183.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644179662583,637382876152856942,,,1602690817966,1602690817966,186.0,175.0,186.0,175.0,0.0,1,186.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644179972253,637382876152856942,,,1602690817997,1602690817997,189.0,176.0,189.0,176.0,0.0,1,189.0,176.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644180281615,637382876152856942,,,1602690818028,1602690818028,190.0,177.0,190.0,177.0,0.0,1,190.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644180591898,637382876152856942,,,1602690818059,1602690818059,191.0,177.0,191.0,177.0,0.0,1,191.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644180926244,637382876152856942,,,1602690818092,1602690818092,192.0,177.0,192.0,177.0,0.0,1,192.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644181234862,637382876152856942,,,1602690818123,1602690818123,194.0,177.0,194.0,177.0,0.0,1,194.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644181552560,637382876152856942,,,1602690818155,1602690818155,197.0,177.0,197.0,177.0,0.0,1,197.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644181867438,637382876152856942,,,1602690818186,1602690818186,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644182177848,637382876152856942,,,1602690818217,1602690818217,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644182533975,637382876152856942,,,1602690818253,1602690818253,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644182846230,637382876152856942,,,1602690818284,1602690818284,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644183158997,637382876152856942,,,1602690818315,1602690818315,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644183471392,637382876152856942,,,1602690818347,1602690818347,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644183783952,637382876152856942,,,1602690818378,1602690818378,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644184096067,637382876152856942,,,1602690818409,1602690818409,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644184408971,637382876152856942,,,1602690818440,1602690818440,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644184721240,637382876152856942,,,1602690818472,1602690818472,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644185026603,637382876152856942,,,1602690818502,1602690818502,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644185373199,637382876152856942,,,1602690818537,1602690818537,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644185686166,637382876152856942,,,1602690818568,1602690818568,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644185999010,637382876152856942,,,1602690818599,1602690818599,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644186376022,637382876152856942,,,1602690818637,1602690818637,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644186688140,637382876152856942,,,1602690818668,1602690818668,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644187000890,637382876152856942,,,1602690818700,1602690818700,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644187313171,637382876152856942,,,1602690818731,1602690818731,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644187627987,637382876152856942,,,1602690818762,1602690818762,198.0,177.0,198.0,177.0,0.0,1,198.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644187942797,637382876152856942,,,1602690818794,1602690818794,200.0,178.0,200.0,178.0,0.0,1,200.0,178.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644188253518,637382876152856942,,,1602690818825,1602690818825,210.0,179.0,210.0,179.0,0.0,1,210.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644188558305,637382876152856942,,,1602690818855,1602690818855,219.0,179.0,219.0,179.0,0.0,1,219.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644188878201,637382876152856942,,,1602690818887,1602690818887,225.0,179.0,225.0,179.0,0.0,1,225.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644189190138,637382876152856942,,,1602690818918,1602690818918,238.0,179.0,238.0,179.0,0.0,1,238.0,179.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644189499266,637382876152856942,,,1602690818949,1602690818949,246.0,178.0,246.0,178.0,0.0,1,246.0,178.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644189809442,637382876152856942,,,1602690818980,1602690818980,250.0,177.0,250.0,177.0,0.0,1,250.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644190135344,637382876152856942,,,1602690819013,1602690819013,260.0,177.0,260.0,177.0,0.0,1,260.0,177.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644190441465,637382876152856942,,,1602690819044,1602690819044,277.0,175.0,277.0,175.0,0.0,1,277.0,175.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644190755864,637382876152856942,,,1602690819075,1602690819075,289.0,173.0,289.0,173.0,0.0,1,289.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
132471644191071847,637382876152856942,,,1602690819107,1602690819107,296.0,173.0,296.0,173.0,0.0,1,296.0,173.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
